industry_code_2d,industry_en,is_hightech,share_tokyo_employment,share_osaka_employment,abs_diff_employment,share_tokyo_value_added,share_osaka_value_added,abs_diff_value_added
09,食料品製造業,False,0.17584860671926647,0.1351834036001255,0.04066520311914096,0.13878604487422386,0.10245773389441092,0.03632831097981294
15,印刷・同関連業,False,0.07149240850465792,0.04056322868464305,0.03092917982001487,0.05422530369426844,0.02728407846302076,0.026941225231247676
26,Production Machinery & Robotics,True,0.0705151164734255,0.09817230151622508,0.027657185042799584,0.05993693746319974,0.09436736719013777,0.034430429726938036
31,輸送用機械器具製造業,False,0.10236750273744102,0.07540502970321718,0.026962473034223847,0.10905382156698437,0.08804024500282931,0.021013576564155062
24,金属製品製造業,False,0.077281968365074,0.10332023579720775,0.02603826743213375,0.05846608999348128,0.08135188599004037,0.022885795996559086
25,General-Purpose Machinery,True,0.04154173361031802,0.06221156503435766,0.020669831424039636,0.03571357491021898,0.0653916592453687,0.02967808433514972
11,繊維工業,False,0.010959144758610574,0.03136447790284274,0.020405333144232166,0.005493675394651342,0.01582479050764031,0.010331115112988967
29,Electrical Machinery,True,0.06004973444263654,0.07650110854609038,0.01645137410345384,0.0469144900122982,0.06257962944880834,0.015665139436510135
22,鉄鋼業,False,0.027346268381788597,0.04180683662295511,0.014460568241166514,0.022678914553080003,0.044104053263939784,0.02142513871085978
30,ICT Equipment,True,0.025677367417458904,0.011946739918671989,0.013730627498786915,0.038331401669433204,0.01614705816611394,0.022184343503319263
18,プラスチック製品製造業（別掲を除く）,False,0.04782846734002599,0.05949266614165702,0.011664198801631026,0.04329365409637676,0.043993174954795766,0.0006995208584190046
27,Business Machinery & Medical Devices,True,0.03817578976452891,0.029740618915723483,0.008435170848805424,0.043206031340514435,0.03071564448825984,0.012490386852254596
28,Electronic Parts & Circuits,True,0.03483201833829654,0.02808247499797407,0.006749543340322472,0.02472674106932847,0.024557192620033856,0.00016954844929461393
32,その他の製造業,False,0.028582807164761543,0.022845192109894632,0.005737615054866911,0.019539034516128533,0.039443855577031894,0.019904821060903362
16,Chemicals & Adv. Materials,True,0.0692879583294958,0.06377516565855118,0.005512792670944622,0.1511278651219559,0.10767938169313825,0.043448483428817644
17,石油製品・石炭製品製造業,False,0.007047418277578226,0.0032425232877793964,0.0038048949897988293,0.0343716414507847,0.025714356299946707,0.008657285150837996
12,木材・木製品製造業（家具を除く）,False,0.004900957507410705,0.008182670110397477,0.0032817126029867725,0.003481324463187845,0.005712144615902244,0.002230820152714399
21,窯業・土石製品製造業,False,0.023130097524534637,0.020227070134500823,0.0029030273900338133,0.025079493742080995,0.026657851301893697,0.0015783575598127021
10,飲料・たばこ・飼料製造業,False,0.009888046336945733,0.011584150803825783,0.0016961044668800506,0.020941515558337887,0.036554916820680655,0.015613401262342768
19,ゴム製品製造業,False,0.012974276582172692,0.01462200344511606,0.0016477268629433682,0.006930081176409163,0.009575606654345547,0.002645525477936384
20,なめし革・同製品・毛皮製造業,False,0.0037496972611945137,0.004959886631162716,0.0012101893699682023,0.0021212978093277136,0.0021894789719433764,6.818116261566275e-05
14,パルプ・紙・紙加工品製造業,False,0.025088945513837297,0.025754216526998865,0.0006652710131615676,0.02198012953693312,0.021394440320411844,0.000585689216521277
13,家具・装備品製造業,False,0.011790610491988934,0.011570644619032084,0.00021996587295684995,0.01078276845518755,0.007117166903324703,0.003665601551862848
23,非鉄金属製造業,False,0.019643058156550926,0.01944578929104997,0.00019726886550095607,0.02281829676871056,0.020953721099583426,0.0018645756691271324
TOTAL_KSI,Krugman index = 0.5 * sum(|share diff|),,,,0.14584776250539647,,,0.17725267872550052
