year,value,annual_growth_pct
2010,19.1226872782363,
2011,18.392253763449,-3.8197221141539783
2012,18.2382479591573,-0.8373405797486133
2013,17.7587589107099,-2.6290302090483997
2014,17.7805347199635,0.12262010742467577
2015,18.0454889300336,1.490136344283366
2016,17.620423854837,-2.3555198578695813
2017,17.5942774665502,-0.1483868294100299
2018,17.2970528139362,-1.6893257093340441
2019,17.0303844450023,-1.5416982985624328
2020,18.6333487896777,9.412379091335211
2021,18.0039913482614,-3.3775863293287633
2022,18.2592615351902,1.4178533081413036
2023,17.1028060703212,-6.333528125659504
2024,17.5547415163067,2.642463722779098
