pref_code,pref_name,industry_code_2d,industry_name_jp,establishments,employment,shipments_mn_yen,value_added_mn_yen,region
tokyo_ma,Tokyo Metropolitan Area,09,食料品製造業,2762.0,206205.0,6012644.0,2147774.0,tokyo_ma
tokyo_ma,Tokyo Metropolitan Area,10,飲料・たばこ・飼料製造業,285.0,11595.0,1021813.0,324079.0,tokyo_ma
tokyo_ma,Tokyo Metropolitan Area,11,繊維工業,807.0,12851.0,210051.0,85017.0,tokyo_ma
tokyo_ma,Tokyo Metropolitan Area,12,木材・木製品製造業（家具を除く）,317.0,5747.0,165358.0,53875.0,tokyo_ma
tokyo_ma,Tokyo Metropolitan Area,13,家具・装備品製造業,655.0,13826.0,454038.0,166868.0,tokyo_ma
tokyo_ma,Tokyo Metropolitan Area,14,パルプ・紙・紙加工品製造業,1032.0,29420.0,963150.0,340152.0,tokyo_ma
tokyo_ma,Tokyo Metropolitan Area,15,印刷・同関連業,2937.0,83834.0,1730944.0,839160.0,tokyo_ma
tokyo_ma,Tokyo Metropolitan Area,16,化学工業,1143.0,81249.0,5899786.0,2338769.0,tokyo_ma
tokyo_ma,Tokyo Metropolitan Area,17,石油製品・石炭製品製造業,159.0,8264.0,4476584.0,531916.0,tokyo_ma
tokyo_ma,Tokyo Metropolitan Area,18,プラスチック製品製造業（別掲を除く）,2145.0,56085.0,1790383.0,669988.0,tokyo_ma
tokyo_ma,Tokyo Metropolitan Area,19,ゴム製品製造業,488.0,15214.0,276674.0,107246.0,tokyo_ma
tokyo_ma,Tokyo Metropolitan Area,20,なめし革・同製品・毛皮製造業,313.0,4397.0,79292.0,32828.0,tokyo_ma
tokyo_ma,Tokyo Metropolitan Area,21,窯業・土石製品製造業,953.0,27123.0,979103.0,388116.0,tokyo_ma
tokyo_ma,Tokyo Metropolitan Area,22,鉄鋼業,654.0,32067.0,2429990.0,350966.0,tokyo_ma
tokyo_ma,Tokyo Metropolitan Area,23,非鉄金属製造業,540.0,23034.0,1460164.0,353123.0,tokyo_ma
tokyo_ma,Tokyo Metropolitan Area,24,金属製品製造業,4878.0,90623.0,2129863.0,904788.0,tokyo_ma
tokyo_ma,Tokyo Metropolitan Area,25,はん用機械器具製造業,1236.0,48713.0,1495738.0,552683.0,tokyo_ma
tokyo_ma,Tokyo Metropolitan Area,26,生産用機械器具製造業,3298.0,82688.0,2548157.0,927550.0,tokyo_ma
tokyo_ma,Tokyo Metropolitan Area,27,業務用機械器具製造業,1235.0,44766.0,1503675.0,668632.0,tokyo_ma
tokyo_ma,Tokyo Metropolitan Area,28,電子部品・デバイス・電子回路製造業,867.0,40845.0,1153974.0,382657.0,tokyo_ma
tokyo_ma,Tokyo Metropolitan Area,29,電気機械器具製造業,1763.0,70416.0,2003849.0,726022.0,tokyo_ma
tokyo_ma,Tokyo Metropolitan Area,30,情報通信機械器具製造業,372.0,30110.0,1884859.0,593195.0,tokyo_ma
tokyo_ma,Tokyo Metropolitan Area,31,輸送用機械器具製造業,1402.0,120039.0,6262012.0,1687655.0,tokyo_ma
tokyo_ma,Tokyo Metropolitan Area,32,その他の製造業,1549.0,33517.0,773040.0,302375.0,tokyo_ma
