region,region_label,industry_code_4d,value_added_mn_yen,value_added_mn_yen_japan,lq,is_hightech,hightech_category
tokyo_ma,Tokyo Metropolitan Area,2329,46074.83,140323.6,2.012499914056527,False,
tokyo_ma,Tokyo Metropolitan Area,2331,60170.79,131437.64,2.805878154781078,False,
tokyo_ma,Tokyo Metropolitan Area,2332,15954.94,161849.5,0.6042082629270933,False,
tokyo_ma,Tokyo Metropolitan Area,2339,59455.479999999996,89972.54,4.0502772767037625,False,
tokyo_ma,Tokyo Metropolitan Area,2341,30108.77,316345.02,0.5833575984029561,False,
tokyo_ma,Tokyo Metropolitan Area,2342,8296.4,8296.4,6.129186650066912,False,
tokyo_ma,Tokyo Metropolitan Area,2351,2453.5299999999997,19958.18,0.7534826983992864,False,
tokyo_ma,Tokyo Metropolitan Area,2352,14846.28,78396.49,1.160710398885912,False,
tokyo_ma,Tokyo Metropolitan Area,2353,11789.01,215359.53999999998,0.33551818837236247,False,
tokyo_ma,Tokyo Metropolitan Area,2354,3929.67,13765.72,1.749685516134895,False,
tokyo_ma,Tokyo Metropolitan Area,2355,8653.11,30981.07,1.7119010509824388,False,
tokyo_ma,Tokyo Metropolitan Area,2391,0.0,0.0,,False,
tokyo_ma,Tokyo Metropolitan Area,2399,44162.17,196878.93,1.3748458649281845,False,
tokyo_ma,Tokyo Metropolitan Area,2411,25819.16,72260.03,2.1900136325426605,False,
tokyo_ma,Tokyo Metropolitan Area,2421,0.0,6297.12,0.0,False,
tokyo_ma,Tokyo Metropolitan Area,2422,4592.49,43207.409999999996,0.6514676162853963,False,
tokyo_ma,Tokyo Metropolitan Area,2423,868.38,44889.26,0.1185687423491745,False,
tokyo_ma,Tokyo Metropolitan Area,2424,190.41,29632.77,0.03938404779705849,False,
tokyo_ma,Tokyo Metropolitan Area,2425,0.0,8661.23,0.0,False,
tokyo_ma,Tokyo Metropolitan Area,2426,0.0,7886.91,0.0,False,
tokyo_ma,Tokyo Metropolitan Area,2429,37056.18,161564.14,1.405783757203031,False,
tokyo_ma,Tokyo Metropolitan Area,2431,17500.48,161885.63,0.6625894366644093,False,
tokyo_ma,Tokyo Metropolitan Area,2432,11274.560000000001,257261.06000000003,0.26861384555197904,False,
tokyo_ma,Tokyo Metropolitan Area,2433,223.42,339.39,4.034835679772384,False,
tokyo_ma,Tokyo Metropolitan Area,2439,1445.17,3939.09,2.248670802413044,False,
tokyo_ma,Tokyo Metropolitan Area,2441,72487.87,514638.63,0.8633080752134479,False,
tokyo_ma,Tokyo Metropolitan Area,2442,112444.75,651650.86,1.0576136745528295,False,
tokyo_ma,Tokyo Metropolitan Area,2443,46012.93,343745.07,0.8204389266919909,False,
tokyo_ma,Tokyo Metropolitan Area,2444,2988.35,186811.37,0.0980462534251928,False,
tokyo_ma,Tokyo Metropolitan Area,2445,50719.39,359312.87,0.8651752665790605,False,
tokyo_ma,Tokyo Metropolitan Area,2446,96877.27,538237.62,1.1031909474832469,False,
tokyo_ma,Tokyo Metropolitan Area,2451,20299.239999999998,151284.61,0.8224090395877298,False,
tokyo_ma,Tokyo Metropolitan Area,2452,72937.02,470798.08999999997,0.9495463528317701,False,
tokyo_ma,Tokyo Metropolitan Area,2453,25446.739999999998,94330.26,1.6534229747243747,False,
tokyo_ma,Tokyo Metropolitan Area,2461,31551.82,152545.02,1.2677371829595894,False,
